# dimensionless [l(l+1)/2pi] C_l's for scalar adiabatic (AD) mode
# for l=2 to 6500, i.e. number of multipoles equal to 6499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.429578959676e-10       5.877674676382e-15       4.007225610860e-13       0.000000000000e+00       8.028130386754e-09       4.875954458186e-10      -2.160105121333e-12 
    3       1.340754367146e-10       8.889667086916e-15       4.866610073472e-13       0.000000000000e+00       4.940984122268e-09       3.456489391513e-10      -1.800453304711e-12 
    4       1.257719995683e-10       9.165562441953e-15       4.852414466097e-13       0.000000000000e+00       3.443270313101e-09       2.619522228856e-10      -1.335710020680e-12 
    5       1.194389470015e-10       7.372518559630e-15       4.376413815822e-13       0.000000000000e+00       2.574615387890e-09       2.071068790949e-10      -8.956330688004e-13 
    6       1.149329068259e-10       4.888801189157e-15       3.706322242847e-13       0.000000000000e+00       2.013762608389e-09       1.686541852158e-10      -5.241065254763e-13 
    7       1.119022442595e-10       2.817429234612e-15       3.015976704871e-13       0.000000000000e+00       1.626164867988e-09       1.403796163587e-10      -2.388275367397e-13 
    8       1.099414659350e-10       1.579414720529e-15       2.403158207455e-13       0.000000000000e+00       1.344603597833e-09       1.188468675204e-10      -4.216396354780e-14 
    9       1.088441493497e-10       1.046334355036e-15       1.916727183110e-13       0.000000000000e+00       1.132309009131e-09       1.020527734036e-10       7.367915517524e-14 
   10       1.084164114777e-10       8.785368063634e-16       1.571986651126e-13       0.000000000000e+00       9.677643127963e-10       8.871266056459e-11       1.232158763634e-13 
   11       1.084535706222e-10       8.009392861331e-16       1.362655038608e-13       0.000000000000e+00       8.183176809687e-10       7.814132446877e-11       1.241731564236e-13 
   12       1.088440372622e-10       7.034119169709e-16       1.268293086993e-13       0.000000000000e+00       7.153595728049e-10       6.922736850816e-11       9.598069182325e-14 
   13       1.095497752149e-10       5.980902167031e-16       1.259721501817e-13       0.000000000000e+00       6.307874017058e-10       6.161009800349e-11       5.404958732397e-14 
   14       1.104969556078e-10       5.295921113739e-16       1.306478672294e-13       0.000000000000e+00       5.603777378418e-10       5.533704184378e-11       1.172023443054e-14 
   15       1.116092321388e-10       5.156179117437e-16       1.382505027334e-13       0.000000000000e+00       5.010863016421e-10       5.007956302366e-11      -2.249393085334e-14 
   16       1.128909097173e-10       5.401330045443e-16       1.468446329372e-13       0.000000000000e+00       4.506521847952e-10       4.545492291302e-11      -4.442482332254e-14 
   17       1.143123017080e-10       5.772545042573e-16       1.552281975254e-13       0.000000000000e+00       4.073660296659e-10       4.135490904972e-11      -5.331201810676e-14 
   18       1.158160420970e-10       6.136917351337e-16       1.627957572630e-13       0.000000000000e+00       3.697803806497e-10       3.776969166813e-11      -5.119048134753e-14 
   19       1.174245952012e-10       6.568788667739e-16       1.695631038249e-13       0.000000000000e+00       3.373027092550e-10       3.467373579992e-11      -4.132610790305e-14 
   20       1.191293395434e-10       7.209564037562e-16       1.757905857436e-13       0.000000000000e+00       3.086888084501e-10       3.194752429658e-11      -2.827147289900e-14 
   21       1.209118209088e-10       8.140511210080e-16       1.819059129093e-13       0.000000000000e+00       2.834922827091e-10       2.952122628910e-11      -1.532793851144e-14 
   22       1.227238457334e-10       9.407632892612e-16       1.884081243416e-13       0.000000000000e+00       2.611122840250e-10       2.731020246426e-11      -5.509376707979e-15 
   23       1.245857642188e-10       1.097286007679e-15       1.955223581274e-13       0.000000000000e+00       2.412428947059e-10       2.533063031377e-11       3.235581360272e-17 
   24       1.265165749963e-10       1.276628804879e-15       2.033145588713e-13       0.000000000000e+00       2.234267827133e-10       2.359905240745e-11       1.037771242812e-15 
   25       1.285079323380e-10       1.478034008835e-15       2.115655783461e-13       0.000000000000e+00       2.074554686191e-10       2.206404944384e-11      -1.691579200915e-15 
   26       1.305295968578e-10       1.702277243174e-15       2.198923922030e-13       0.000000000000e+00       1.930410108569e-10       2.064214543969e-11      -6.693910677890e-15 
   27       1.325829172753e-10       1.948845292126e-15       2.279012192450e-13       0.000000000000e+00       1.800120574681e-10       1.932828826540e-11      -1.236496683507e-14 
   28       1.346696191301e-10       2.216689416210e-15       2.351654284015e-13       0.000000000000e+00       1.681457065390e-10       1.813158468293e-11      -1.702198193045e-14 
   29       1.367980670399e-10       2.505544945305e-15       2.413988098047e-13       0.000000000000e+00       1.573816551665e-10       1.704867019645e-11      -2.002976447217e-14 
   30       1.389667584997e-10       2.815229712178e-15       2.463269829603e-13       0.000000000000e+00       1.476041889215e-10       1.606060216055e-11      -2.105681181978e-14 
   31       1.411641129311e-10       3.145949635396e-15       2.497011218783e-13       0.000000000000e+00       1.386138846622e-10       1.514055612120e-11      -1.992136738199e-14 
   32       1.433943128454e-10       3.500414323284e-15       2.515374237401e-13       0.000000000000e+00       1.303647770479e-10       1.428747186196e-11      -1.713435981088e-14 
   33       1.456585877159e-10       3.882583570234e-15       2.519729293722e-13       0.000000000000e+00       1.227992713544e-10       1.350344460254e-11      -1.358741735197e-14 
   34       1.479514976056e-10       4.296354903047e-15       2.511782939983e-13       0.000000000000e+00       1.158122992290e-10       1.278527746803e-11      -1.025864584664e-14 
   35       1.502758309307e-10       4.742710874460e-15       2.492524509720e-13       0.000000000000e+00       1.093682712377e-10       1.212773443968e-11      -7.608404973226e-15 
   36       1.526312375575e-10       5.221563916992e-15       2.462955776491e-13       0.000000000000e+00       1.034154892936e-10       1.152038900126e-11      -5.983808935803e-15 
   37       1.550125775724e-10       5.732705548598e-15       2.423947647172e-13       0.000000000000e+00       9.787651688110e-11       1.095030770075e-11      -5.658746535636e-15 
   38       1.574207290882e-10       6.276575440445e-15       2.374731970090e-13       0.000000000000e+00       9.273714559101e-11       1.041620218969e-11      -6.416464704247e-15 
   39       1.598541643824e-10       6.853723320206e-15       2.313901913652e-13       0.000000000000e+00       8.798122008334e-11       9.918353811129e-12      -7.821942560442e-15 
   40       1.623052817836e-10       7.464594120682e-15       2.239792007078e-13       0.000000000000e+00       8.356358032015e-11       9.454529331280e-12      -9.323688956228e-15 
   41       1.647649076539e-10       8.109600308593e-15       2.150703693243e-13       0.000000000000e+00       7.942581909174e-11       9.020968261119e-12      -1.037653386386e-14 
   42       1.672390192744e-10       8.789383950034e-15       2.045714819909e-13       0.000000000000e+00       7.555580809798e-11       8.616286611272e-12      -1.087670553430e-14 
   43       1.697364475380e-10       9.504628220514e-15       1.924102490079e-13       0.000000000000e+00       7.194328966195e-11       8.238455180668e-12      -1.085534275532e-14 
   44       1.722639905696e-10       1.025598397396e-14       1.785120020771e-13       0.000000000000e+00       6.856201030785e-11       7.883546411144e-12      -1.036138157159e-14 
   45       1.748259552156e-10       1.104402562218e-14       1.628199260275e-13       0.000000000000e+00       6.537910554663e-11       7.547058449753e-12      -9.472177142972e-15 
   46       1.774232180957e-10       1.186910666442e-14       1.453633534723e-13       0.000000000000e+00       6.238960087264e-11       7.228706244861e-12      -8.326211526183e-15 
   47       1.800534507021e-10       1.273145835351e-14       1.262096083879e-13       0.000000000000e+00       5.959005900362e-11       6.928812409022e-12      -7.102289746427e-15 
   48       1.827110394461e-10       1.363122464512e-14       1.054463670906e-13       0.000000000000e+00       5.696817457531e-11       6.646899463448e-12      -6.012759252622e-15 
   49       1.853868192841e-10       1.456845820901e-14       8.318266873458e-14       0.000000000000e+00       5.450211450305e-11       6.381627371210e-12      -5.305299218211e-15 
   50       1.880716859942e-10       1.554320003044e-14       5.951405012939e-14       0.000000000000e+00       5.216709951870e-11       6.131255896974e-12      -5.190212325515e-15 
   51       1.907692069247e-10       1.655575294107e-14       3.440444898020e-14       0.000000000000e+00       4.995878523474e-11       5.895324564246e-12      -5.594882311938e-15 
   52       1.934859728464e-10       1.760647544009e-14       7.773991324107e-15       0.000000000000e+00       4.787508738015e-11       5.673320725851e-12      -6.345759616431e-15 
   53       1.962279366176e-10       1.869570453935e-14      -2.046859620081e-14       0.000000000000e+00       4.590918400378e-11       5.464157719578e-12      -7.235357918227e-15 
   54       1.990003293342e-10       1.982375570824e-14      -5.042666412523e-14       0.000000000000e+00       4.404919659695e-11       5.266137099108e-12      -8.020537672160e-15 
   55       2.018071519309e-10       2.099083884227e-14      -8.219462917290e-14       0.000000000000e+00       4.228181469794e-11       5.077425064143e-12      -8.482250359141e-15 
   56       2.046496941760e-10       2.219678184952e-14      -1.157872763410e-13       0.000000000000e+00       4.060495465420e-11       4.897706874164e-12      -8.626083647690e-15 
   57       2.075275008939e-10       2.344123830057e-14      -1.511940811056e-13       0.000000000000e+00       3.901768702982e-11       4.726877271069e-12      -8.528529433163e-15 
   58       2.104386660751e-10       2.472376213409e-14      -1.883991958086e-13       0.000000000000e+00       3.751640700535e-11       4.564544939257e-12      -8.280551372773e-15 
   59       2.133797324855e-10       2.604380432989e-14      -2.273812824111e-13       0.000000000000e+00       3.609466914259e-11       4.410014770289e-12      -7.988262994227e-15 
   60       2.163455912761e-10       2.740070958198e-14      -2.681133452469e-13       0.000000000000e+00       3.474302214955e-11       4.262270127548e-12      -7.773605804374e-15 
