# dimensionless [l(l+1)/2pi] C_l's for scalar CDM isocurvature (CDI) mode
# for l=2 to 6500, i.e. number of multipoles equal to 6499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       7.689948142351e-13       4.437063484841e-17       3.193724159668e-15       0.000000000000e+00       1.085405409672e-11       4.497294953225e-13      -3.595173877231e-15 
    3       9.792870677703e-13       8.933677060958e-17       4.528017117392e-15       0.000000000000e+00       7.423658194053e-12       3.786769837070e-13      -3.859671591080e-15 
    4       1.158527643859e-12       1.171623761443e-16       5.209452288213e-15       0.000000000000e+00       5.599979758022e-12       3.236309356081e-13      -3.553920544829e-15 
    5       1.318536708037e-12       1.176160442576e-16       5.371037994345e-15       0.000000000000e+00       4.449600468427e-12       2.800520247460e-13      -2.948307593294e-15 
    6       1.465053108114e-12       9.615444032462e-17       5.167780744540e-15       0.000000000000e+00       3.656223533411e-12       2.449736287018e-13      -2.203321444661e-15 
    7       1.601066370342e-12       6.616056490504e-17       4.745995763741e-15       0.000000000000e+00       3.080163927581e-12       2.161783432811e-13      -1.443212739965e-15 
    8       1.728160689207e-12       3.970392396139e-17       4.218510094142e-15       0.000000000000e+00       2.644289008093e-12       1.921074863430e-13      -7.603341118170e-16 
    9       1.847901382888e-12       2.259983565703e-17       3.667351691711e-15       0.000000000000e+00       2.302770724297e-12       1.718157982173e-13      -2.154721068751e-16 
   10       1.961161440029e-12       1.445960247416e-17       3.147039703318e-15       0.000000000000e+00       2.027787950604e-12       1.546696123781e-13       1.621486674255e-16 
   11       2.068202036999e-12       1.166194590657e-17       2.692753678690e-15       0.000000000000e+00       1.719866549690e-12       1.368875258805e-13       3.651558249010e-16 
   12       2.169395568131e-12       1.055377501759e-17       2.326209582627e-15       0.000000000000e+00       1.539471119515e-12       1.244148212543e-13       4.310894837072e-16 
   13       2.265663496713e-12       9.186125952484e-18       2.056508097648e-15       0.000000000000e+00       1.387503927620e-12       1.130630229305e-13       3.871081503130e-16 
   14       2.357002168578e-12       7.340962291987e-18       1.881686538953e-15       0.000000000000e+00       1.257994131421e-12       1.037489412401e-13       2.763432425386e-16 
   15       2.443835686951e-12       5.613235797769e-18       1.792410983979e-15       0.000000000000e+00       1.146516615602e-12       9.587081067646e-14       1.387780141662e-16 
   16       2.526825166800e-12       4.502858860389e-18       1.775862882904e-15       0.000000000000e+00       1.049717105755e-12       8.861692497156e-14       7.460515413439e-18 
   17       2.605990893496e-12       4.043017963397e-18       1.819158588114e-15       0.000000000000e+00       9.650120656596e-13       8.198810570857e-14      -9.452769331959e-17 
   18       2.681398288885e-12       3.911539574215e-18       1.910729714205e-15       0.000000000000e+00       8.901035188195e-13       7.606258096725e-14      -1.554318037807e-16 
   19       2.753539053549e-12       3.883094242483e-18       2.044011252585e-15       0.000000000000e+00       8.242294227445e-13       7.084588511660e-14      -1.749068545917e-16 
   20       2.822418065480e-12       3.779381093584e-18       2.210588414529e-15       0.000000000000e+00       7.652330543260e-13       6.617650249000e-14      -1.598026499881e-16 
   21       2.888302786200e-12       3.681550041166e-18       2.407221603174e-15       0.000000000000e+00       7.124484883159e-13       6.190314327004e-14      -1.212117832426e-16 
   22       2.951174085855e-12       3.758186530916e-18       2.631204334038e-15       0.000000000000e+00       6.648585723017e-13       5.784297293130e-14      -7.411580938488e-17 
   23       3.011255102267e-12       4.055169031556e-18       2.881337669461e-15       0.000000000000e+00       6.219849988440e-13       5.411845963478e-14      -2.943745817394e-17 
   24       3.068585613629e-12       4.564612485496e-18       3.156261182094e-15       0.000000000000e+00       5.830114594273e-13       5.088353742627e-14       2.960110055916e-18 
   25       3.123412967006e-12       5.236992447033e-18       3.455044306097e-15       0.000000000000e+00       5.476019574219e-13       4.801876721983e-14       1.926412953046e-17 
   26       3.175829157547e-12       6.011721659581e-18       3.776302081499e-15       0.000000000000e+00       5.152352539424e-13       4.530336674894e-14       1.870775844618e-17 
   27       3.225925136016e-12       6.902698656862e-18       4.118078122305e-15       0.000000000000e+00       4.856141419478e-13       4.273580113544e-14       4.948036874698e-18 
   28       3.273658993649e-12       7.943645970813e-18       4.477895443581e-15       0.000000000000e+00       4.583191485281e-13       4.036358392476e-14      -1.617567441923e-17 
   29       3.319267544418e-12       9.138997406959e-18       4.853844050131e-15       0.000000000000e+00       4.332676002377e-13       3.819223365476e-14      -4.000555933392e-17 
   30       3.362892026659e-12       1.048080466040e-17       5.243796703360e-15       0.000000000000e+00       4.102476761930e-13       3.619305905730e-14      -6.126425326233e-17 
   31       3.404508035685e-12       1.196018268790e-17       5.645481626759e-15       0.000000000000e+00       3.888597700050e-13       3.432225825524e-14      -7.461550908714e-17 
   32       3.444268794237e-12       1.358341355693e-17       6.057928878709e-15       0.000000000000e+00       3.690319958439e-13       3.258055382088e-14      -7.938790764895e-17 
   33       3.482241432493e-12       1.536176387245e-17       6.480562353582e-15       0.000000000000e+00       3.506591335687e-13       3.097278735653e-14      -7.664875254378e-17 
   34       3.518371696831e-12       1.730924368630e-17       6.912975028912e-15       0.000000000000e+00       3.335260469870e-13       2.949204065687e-14      -6.810968227156e-17 
   35       3.552761753797e-12       1.944910451302e-17       7.355417661318e-15       0.000000000000e+00       3.175710735893e-13       2.812294110139e-14      -5.639112949280e-17 
   36       3.585455244879e-12       2.180992652863e-17       7.808512105265e-15       0.000000000000e+00       3.026921640540e-13       2.683725846628e-14      -4.494246620918e-17 
   37       3.616418546375e-12       2.441974981630e-17       8.272930184321e-15       0.000000000000e+00       2.887259419969e-13       2.560293547361e-14      -3.719009792962e-17 
   38       3.645789656389e-12       2.729101885234e-17       8.748658905325e-15       0.000000000000e+00       2.756528542479e-13       2.442251556564e-14      -3.366111563673e-17 
   39       3.673687750003e-12       3.043063989267e-17       9.235509009608e-15       0.000000000000e+00       2.634462192803e-13       2.330627141535e-14      -3.392509131815e-17 
   40       3.700131375677e-12       3.384382825532e-17       9.733316062611e-15       0.000000000000e+00       2.520093351441e-13       2.226148112267e-14      -3.734440726186e-17 
   41       3.725084207641e-12       3.753519030059e-17       1.024180732919e-14       0.000000000000e+00       2.412127557949e-13       2.129138784569e-14      -4.305026880040e-17 
   42       3.748638751683e-12       4.151273801946e-17       1.076014223620e-14       0.000000000000e+00       2.310356833800e-13       2.039249290561e-14      -4.989870122287e-17 
   43       3.770872461891e-12       4.578493974619e-17       1.128722794633e-14       0.000000000000e+00       2.214601230708e-13       1.955580628420e-14      -5.647407699424e-17 
   44       3.791787514255e-12       5.035954924557e-17       1.182183699074e-14       0.000000000000e+00       2.124281752686e-13       1.876708651636e-14      -6.108050509374e-17 
   45       3.811351225483e-12       5.524554141640e-17       1.236279961216e-14       0.000000000000e+00       2.038650547876e-13       1.801117418763e-14      -6.221152239934e-17 
   46       3.829650385667e-12       6.045974763918e-17       1.290966350619e-14       0.000000000000e+00       1.957639813421e-13       1.728745598047e-14      -6.016432177145e-17 
   47       3.846769590479e-12       6.602210441396e-17       1.346222110925e-14       0.000000000000e+00       1.881211628180e-13       1.659836065185e-14      -5.588089634540e-17 
   48       3.862741902591e-12       7.195388602161e-17       1.402033365956e-14       0.000000000000e+00       1.809100635226e-13       1.594492231585e-14      -5.051590359858e-17 
   49       3.877543714294e-12       7.827776075516e-17       1.458393661924e-14       0.000000000000e+00       1.740796799221e-13       1.532666263475e-14      -4.544863594654e-17 
   50       3.891130726266e-12       8.501577893034e-17       1.515295409887e-14       0.000000000000e+00       1.675711224942e-13       1.474227983873e-14      -4.195297424658e-17 
   51       3.903569315835e-12       9.218256262440e-17       1.572700216753e-14       0.000000000000e+00       1.613766677680e-13       1.419220958769e-14      -4.007386164686e-17 
   52       3.914931946862e-12       9.979036456802e-17       1.630561438215e-14       0.000000000000e+00       1.554937547989e-13       1.367655558651e-14      -3.946655317320e-17 
   53       3.925256043622e-12       1.078509346781e-16       1.688832685935e-14       0.000000000000e+00       1.499072376709e-13       1.319426556399e-14      -3.970795187435e-17 
   54       3.934540788292e-12       1.163754789607e-16       1.747467941537e-14       0.000000000000e+00       1.445885226977e-13       1.274305143232e-14      -4.029248449608e-17 
   55       3.942771591949e-12       1.253751069204e-16       1.806417651786e-14       0.000000000000e+00       1.395050523073e-13       1.231988385586e-14      -4.074082437609e-17 
   56       3.950007963025e-12       1.348623980918e-16       1.865615617031e-14       0.000000000000e+00       1.346534922341e-13       1.192280273919e-14      -4.096713706293e-17 
   57       3.956311857817e-12       1.448501526835e-16       1.924989045235e-14       0.000000000000e+00       1.300332774785e-13       1.154941665630e-14      -4.099584231208e-17 
   58       3.961719841376e-12       1.553509155846e-16       1.984462243755e-14       0.000000000000e+00       1.256365382733e-13       1.119631163673e-14      -4.085702642266e-17 
   59       3.966240963188e-12       1.663769543005e-16       2.043956576755e-14       0.000000000000e+00       1.214476404026e-13       1.085899370463e-14      -4.058671455640e-17 
   60       3.969854632851e-12       1.779402368889e-16       2.103390422618e-14       0.000000000000e+00       1.174427255209e-13       1.053183141793e-14      -4.022714305675e-17 
   61       3.972534281283e-12       1.900533359902e-16       2.162685590860e-14       0.000000000000e+00       1.135967690861e-13       1.020953681425e-14      -3.982217351246e-17 
   62       3.974329356386e-12       2.027324279568e-16       2.221788352294e-14       0.000000000000e+00       1.099076453551e-13       9.892126687088e-15      -3.940171601381e-17 
   63       3.975298046304e-12       2.159949308211e-16       2.280653075229e-14       0.000000000000e+00       1.063766729051e-13       9.580978023973e-15      -3.899427685215e-17 
   64       3.975481837683e-12       2.298586447796e-16       2.339236341663e-14       0.000000000000e+00       1.030013568991e-13       9.277379389760e-15      -3.863162407894e-17 
   65       3.974904209503e-12       2.443417595130e-16       2.397497109663e-14       0.000000000000e+00       9.977516793282e-14       8.982522278206e-15      -3.834890567605e-17 
   66       3.973569326917e-12       2.594628615066e-16       2.455396875725e-14       0.000000000000e+00       9.668732088189e-14       8.697492463569e-15      -3.818476772606e-17 
   67       3.971460735082e-12       2.752409413701e-16       2.512899837149e-14       0.000000000000e+00       9.372255374910e-14       8.423261352203e-15      -3.818147258249e-17 
   68       3.968559957750e-12       2.916940042196e-16       2.569969474559e-14       0.000000000000e+00       9.086544464372e-14       8.160586425722e-15      -3.837315492406e-17 
   69       3.964909588825e-12       3.088345574900e-16       2.626557132415e-14       0.000000000000e+00       8.811487282089e-14       7.909708477088e-15      -3.874756249054e-17 
   70       3.960560697099e-12       3.266732177843e-16       2.682611405667e-14       0.000000000000e+00       8.547210400421e-14       7.670577208348e-15      -3.927673968002e-17 
   71       3.955553269830e-12       3.452199990180e-16       2.738081584414e-14       0.000000000000e+00       8.293640831128e-14       7.442925934335e-15      -3.992802185383e-17 
   72       3.949915415645e-12       3.644842840125e-16       2.792917724719e-14       0.000000000000e+00       8.050495516569e-14       7.226260609240e-15      -4.066385012784e-17 
   73       3.943662567450e-12       3.844747960879e-16       2.847070719423e-14       0.000000000000e+00       7.817270820897e-14       7.019848853178e-15      -4.144158616384e-17 
   74       3.936796685340e-12       4.051995706558e-16       2.900492368952e-14       0.000000000000e+00       7.593232021253e-14       6.822708978763e-15      -4.221332696090e-17 
   75       3.929305459503e-12       4.266659268118e-16       2.953135452139e-14       0.000000000000e+00       7.377402798965e-14       6.633599017680e-15      -4.292571964673e-17 
   76       3.921176252545e-12       4.488813529591e-16       3.004951328106e-14       0.000000000000e+00       7.168820341426e-14       6.451344584516e-15      -4.352999497453e-17 
   77       3.912442623660e-12       4.718564129184e-16       3.055882080540e-14       0.000000000000e+00       6.967377583369e-14       6.275915749289e-15      -4.401458953730e-17 
   78       3.903144879626e-12       4.956023206127e-16       3.105867062885e-14       0.000000000000e+00       6.773116173542e-14       6.107527513669e-15      -4.437816352318e-17 
   79       3.893315601195e-12       5.201300635434e-16       3.154845260043e-14       0.000000000000e+00       6.585969508968e-14       5.946314434545e-15      -4.461993369362e-17 
   80       3.882979148239e-12       5.454503931254e-16       3.202755308560e-14       0.000000000000e+00       6.405757672698e-14       5.792326598732e-15      -4.473969771756e-17 
   81       3.872151164907e-12       5.715738150237e-16       3.249535516808e-14       0.000000000000e+00       6.232182371575e-14       5.645525597673e-15      -4.473785850560e-17 
   82       3.860838084776e-12       5.985105794882e-16       3.295123885175e-14       0.000000000000e+00       6.064821873990e-14       5.505780502142e-15      -4.461544854424e-17 
   83       3.849036636001e-12       6.262706716906e-16       3.339458126248e-14       0.000000000000e+00       5.903125947638e-14       5.372863836951e-15      -4.437415423003e-17 
   84       3.836743503377e-12       6.548633976673e-16       3.382479194518e-14       0.000000000000e+00       5.746556961274e-14       5.246470309407e-15      -4.401866406534e-17 
   85       3.823987238881e-12       6.842960844526e-16       3.424142503591e-14       0.000000000000e+00       5.595051155198e-14       5.126285379341e-15      -4.356410721764e-17 
   86       3.810800758539e-12       7.145751457350e-16       3.464408614208e-14       0.000000000000e+00       5.448624913818e-14       5.011920729212e-15      -4.302989846487e-17 
   87       3.797211336496e-12       7.457064508708e-16       3.503239968067e-14       0.000000000000e+00       5.307232833315e-14       4.902888931858e-15      -4.243758643177e-17 
   88       3.783240280878e-12       7.776953084241e-16       3.540600966996e-14       0.000000000000e+00       5.170765115939e-14       4.798599807615e-15      -4.181091698063e-17 
   89       3.768902609646e-12       8.105464497055e-16       3.576458052117e-14       0.000000000000e+00       5.039044964307e-14       4.698356781439e-15      -4.117589660193e-17 
