# dimensionless [l(l+1)/2pi] C_l's for scalar cross ADxCDI mode
# for l=2 to 6500, i.e. number of multipoles equal to 6499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       4.528801066445e-14       2.489421221173e-18       1.705453793133e-16       0.000000000000e+00       1.377671144551e-12       5.904486357634e-14      -6.072415777868e-16 
    3       5.058066722748e-14       4.355762499085e-18       2.272300414289e-16       0.000000000000e+00       9.039895622583e-13       4.808802829085e-14      -5.810888033714e-16 
    4       5.363687730035e-14       5.057524544142e-18       2.455119243236e-16       0.000000000000e+00       6.598232211573e-13       3.983751820624e-14      -4.901475255434e-16 
    5       5.575004305875e-14       4.518995656865e-18       2.381616858275e-16       0.000000000000e+00       5.110528194174e-13       3.354812795834e-14      -3.776076556334e-16 
    6       5.740856746211e-14       3.282913569773e-18       2.159191865634e-16       0.000000000000e+00       4.112492649491e-13       2.865929180144e-14      -2.638595127925e-16 
    7       5.881012174965e-14       2.003873732228e-18       1.871694757080e-16       0.000000000000e+00       3.401926525405e-13       2.476980412217e-14      -1.617073904108e-16 
    8       6.002212403661e-14       1.087181297996e-18       1.575934242215e-16       0.000000000000e+00       2.872709137118e-13       2.161345964665e-14      -7.862678966553e-17 
    9       6.111539620291e-14       6.105161172268e-19       1.308482972890e-16       0.000000000000e+00       2.464542640100e-13       1.902374839039e-14      -1.794030288746e-17 
   10       6.210582941129e-14       4.392740769640e-19       1.090309860658e-16       0.000000000000e+00       2.141437625468e-13       1.688489798914e-14       2.042323580560e-17 
   11       6.298815277014e-14       3.928431729099e-19       9.310873633950e-17       0.000000000000e+00       1.819324638370e-13       1.497724271118e-14       3.861321262377e-17 
   12       6.376714937954e-14       3.546596935662e-19       8.318865060650e-17       0.000000000000e+00       1.611454502708e-13       1.347298371768e-14       4.214827007700e-17 
   13       6.446881021682e-14       2.946371810530e-19       7.871491738286e-17       0.000000000000e+00       1.438238720719e-13       1.211964888930e-14       3.526383950774e-17 
   14       6.508044333166e-14       2.331526357686e-19       7.875096802587e-17       0.000000000000e+00       1.292115340262e-13       1.101716063056e-14       2.298177637615e-17 
   15       6.560383687679e-14       1.950332778953e-19       8.223653079653e-17       0.000000000000e+00       1.167541020399e-13       1.009943657277e-14       9.391791266079e-18 
   16       6.606877224726e-14       1.856715587512e-19       8.817541227085e-17       0.000000000000e+00       1.060347751106e-13       9.264456952299e-15      -2.524743497215e-18 
   17       6.646354434347e-14       1.933357221912e-19       9.574173903802e-17       0.000000000000e+00       9.673500928775e-14       8.504098964416e-15      -1.096795752354e-17 
   18       6.678006445081e-14       2.027053506867e-19       1.043015559033e-16       0.000000000000e+00       8.857797310957e-14       7.832960534242e-15      -1.530860260121e-17 
   19       6.703979860754e-14       2.105863702707e-19       1.135605327831e-16       0.000000000000e+00       8.146028275562e-14       7.249815001190e-15      -1.588158514425e-17 
   20       6.724338134589e-14       2.185289996635e-19       1.232787142481e-16       0.000000000000e+00       7.513278356664e-14       6.731632047686e-15      -1.367445728066e-17 
   21       6.739499555661e-14       2.324393341964e-19       1.334558884531e-16       0.000000000000e+00       6.951220322417e-14       6.262854337965e-15      -9.817920124690e-18 
   22       6.748418475254e-14       2.592916632581e-19       1.441747760134e-16       0.000000000000e+00       6.447894544674e-14       5.825764520054e-15      -5.676078302183e-18 
   23       6.752085301051e-14       2.988852099070e-19       1.555091550149e-16       0.000000000000e+00       5.997446135141e-14       5.430278582900e-15      -2.115261865987e-18 
   24       6.750978959225e-14       3.483255002575e-19       1.675211251308e-16       0.000000000000e+00       5.590529333554e-14       5.087917101307e-15       1.719547784786e-19 
   25       6.745690542986e-14       4.064506227666e-19       1.802150245143e-16       0.000000000000e+00       5.223083845929e-14       4.784691834191e-15       1.017818916728e-18 
   26       6.735978213551e-14       4.726563346299e-19       1.935506280227e-16       0.000000000000e+00       4.889166830033e-14       4.497210512107e-15       5.287497969342e-19 
   27       6.722083318969e-14       5.476956248611e-19       2.074125725083e-16       0.000000000000e+00       4.585312907926e-14       4.226599620076e-15      -8.861216915471e-19 
   28       6.703867526378e-14       6.325217089466e-19       2.216444471525e-16       0.000000000000e+00       4.306826347233e-14       3.979383530750e-15      -2.668784162251e-18 
   29       6.682136665163e-14       7.268098553567e-19       2.361137521649e-16       0.000000000000e+00       4.052607332604e-14       3.755551423626e-15      -4.456627940328e-18 
