# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.129242472460e-10       4.250147748479e-15       2.668807527550e-13       6.749901678424e-19       8.209641789546e-09       4.983534764125e-10      -1.562101681401e-12 
    3       1.096482114954e-10       6.805152051847e-15       3.467436234402e-13       1.350229219706e-18       5.235086821051e-09       3.639352245455e-10      -1.375195757564e-12 
    4       1.061013275967e-10       7.298935664247e-15       3.625261184072e-13       2.250928266110e-18       3.745273198107e-09       2.824130362641e-10      -1.057796077023e-12 
    5       1.036241923812e-10       6.053359296348e-15       3.393463456922e-13       3.377400371233e-18       2.859385853103e-09       2.277769126993e-10      -7.277637968617e-13 
    6       1.022868253875e-10       4.118649689234e-15       2.965242738691e-13       4.730021323147e-18       2.275774499445e-09       1.887148368682e-10      -4.327848951022e-13 
    7       1.019352677805e-10       2.431260900482e-15       2.480279747093e-13       6.309220182599e-18       1.865454862363e-09       1.594970273253e-10      -1.966410780995e-13 
    8       1.023084132738e-10       1.399303967641e-15       2.026386460125e-13       8.115468802361e-18       1.562659041241e-09       1.368924082107e-10      -2.839981380605e-14 
    9       1.032987624448e-10       9.549242444698e-16       1.654401198674e-13       1.014927072628e-17       1.331049330587e-09       1.190004076317e-10       7.343696174902e-14 
   10       1.047771156932e-10       8.230387114026e-16       1.387039626954e-13       1.241114989863e-17       1.149302784450e-09       1.045944415098e-10       1.180216111808e-13 
   11       1.065925176641e-10       7.664764641566e-16       1.227150187823e-13       1.490163961803e-17       9.711604830907e-10       9.241819794212e-11       1.187037310520e-13 
   12       1.086611460564e-10       6.874729066240e-16       1.163136326225e-13       1.762127215575e-17       8.559798253734e-10       8.259868730562e-11       9.245125963865e-14 
   13       1.109698081357e-10       5.982678862008e-16       1.173224670011e-13       2.057056942649e-17       7.605652397052e-10       7.415945103576e-11       5.271692638530e-14 
   14       1.134629508220e-10       5.419716737974e-16       1.232478588312e-13       2.375003505186e-17       6.805033545685e-10       6.711436229623e-11       1.194220223927e-14 
   15       1.160780196044e-10       5.367389973498e-16       1.318380199926e-13       2.716014809486e-17       6.125850856747e-10       6.114186904742e-11      -2.153929843946e-14 
   16       1.188243838560e-10       5.680914407448e-16       1.413496320226e-13       3.080135867017e-17       5.544108795120e-10       5.586082193231e-11      -4.335861861891e-14 
   17       1.216799536251e-10       6.113148308496e-16       1.506794454030e-13       3.467408555327e-17       5.041544544744e-10       5.114888436492e-11      -5.244120059350e-14 
   18       1.245946001670e-10       6.535648410145e-16       1.592483645435e-13       3.877871484779e-17       4.602455276793e-10       4.699401838631e-11      -5.052279102485e-14 
   19       1.275926569345e-10       7.026826393269e-16       1.670638684426e-13       4.311560649602e-17       4.220783231550e-10       4.337734155340e-11      -4.072874369506e-14 
   20       1.306733531560e-10       7.734229922937e-16       1.743798772519e-13       4.768508708695e-17       3.882642812647e-10       4.017337528929e-11      -2.753290739209e-14 
   21       1.338173170583e-10       8.746459155163e-16       1.816276166536e-13       5.248746920699e-17       3.583266805341e-10       3.730565493478e-11      -1.430883297682e-14 
   22       1.369769380480e-10       1.011739596523e-15       1.893194054281e-13       5.752304293702e-17       3.316001072640e-10       3.467740293560e-11      -4.214551394733e-15 
   23       1.401751249978e-10       1.181216406334e-15       1.976941448328e-13       6.279209866854e-17       3.077530188346e-10       3.230932883049e-11       1.481320775594e-15 
   24       1.434363619989e-10       1.376264522043e-15       2.068321164002e-13       6.829491853316e-17       2.862698165584e-10       3.022265559112e-11       2.416430446769e-15 
   25       1.467523269458e-10       1.596463934463e-15       2.165061968462e-13       7.403180258742e-17       2.669223430039e-10       2.836103809574e-11      -6.151917587193e-16 
   26       1.500926463893e-10       1.842960092669e-15       2.263172597253e-13       8.000305864768e-17       2.493844618747e-10       2.663077140827e-11      -6.106903039936e-15 
   27       1.534584579010e-10       2.115489200928e-15       2.358527611329e-13       8.620902469733e-17       2.334644351382e-10       2.502680837247e-11      -1.234785764906e-14 
   28       1.568523412994e-10       2.413199301384e-15       2.446627710414e-13       9.265006186524e-17       2.189065373707e-10       2.355943910479e-11      -1.752273411983e-14 
   29       1.602830039447e-10       2.736032370373e-15       2.524250410657e-13       9.932657865422e-17       2.056473033302e-10       2.222529197691e-11      -2.092257865372e-14 
   30       1.637504338933e-10       3.083994313867e-15       2.588209944800e-13       1.062390163672e-16       1.935549645774e-10       2.100265960035e-11      -2.215285312763e-14 
   31       1.672455121460e-10       3.457519185976e-15       2.635584092490e-13       1.133878473889e-16       1.823959981977e-10       1.986027898857e-11      -2.098209602227e-14 
   32       1.707726123951e-10       3.859836651780e-15       2.666360354119e-13       1.207735874609e-16       1.721202906806e-10       1.879750916040e-11      -1.796479922152e-14 
   33       1.743330614972e-10       4.295565971541e-15       2.681842934126e-13       1.283967929972e-16       1.626622268694e-10       1.781728175661e-11      -1.408212347095e-14 
   34       1.779220571216e-10       4.769266405980e-15       2.683708227393e-13       1.362580547832e-16       1.538978438727e-10       1.691602856630e-11      -1.041467811945e-14 
