# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 6500, i.e. number of multipoles equal to 6499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.129232125866e-10       4.249472758303e-15       2.668807588688e-13       0.000000000000e+00       8.209641789546e-09       4.983534764125e-10      -1.562101681401e-12 
    3       1.096461463577e-10       6.803801822543e-15       3.467436506902e-13       0.000000000000e+00       5.235086821051e-09       3.639352245455e-10      -1.375195757564e-12 
    4       1.060978948823e-10       7.296684735570e-15       3.625261967210e-13       0.000000000000e+00       3.745273198107e-09       2.824130362641e-10      -1.057796077023e-12 
    5       1.036190602662e-10       6.049981894578e-15       3.393465241402e-13       0.000000000000e+00       2.859385853103e-09       2.277769126993e-10      -7.277637968617e-13 
    6       1.022796683901e-10       4.113919664123e-15       2.965246248556e-13       0.000000000000e+00       2.275774499445e-09       1.887148368682e-10      -4.327848951022e-13 
    7       1.019257676763e-10       2.424951671571e-15       2.480285978059e-13       0.000000000000e+00       1.865454862363e-09       1.594970273253e-10      -1.966410780995e-13 
    8       1.022962598382e-10       1.391188481022e-15       2.026396713874e-13       0.000000000000e+00       1.562659041241e-09       1.368924082107e-10      -2.839981380605e-14 
    9       1.032836540108e-10       9.447749407059e-16       1.654417112800e-13       0.000000000000e+00       1.331049330587e-09       1.190004076317e-10       7.343696174902e-14 
   10       1.047587595184e-10       8.106275049229e-16       1.387063200397e-13       0.000000000000e+00       1.149302784450e-09       1.045944415098e-10       1.180216111808e-13 
   11       1.065706301074e-10       7.515747340595e-16       1.227183801772e-13       0.000000000000e+00       9.711604830907e-10       9.241819794212e-11       1.187037310520e-13 
   12       1.086354525703e-10       6.698514984515e-16       1.163182760580e-13       0.000000000000e+00       8.559798253734e-10       8.259868730562e-11       9.245125963865e-14 
   13       1.109400430876e-10       5.776971239129e-16       1.173287115618e-13       0.000000000000e+00       7.605652397052e-10       7.415945103576e-11       5.271692638530e-14 
   14       1.134288571623e-10       5.182213808928e-16       1.232560655279e-13       0.000000000000e+00       6.805033545685e-10       6.711436229623e-11       1.194220223927e-14 
   15       1.160393484040e-10       5.095785258552e-16       1.318485922383e-13       0.000000000000e+00       6.125850856747e-10       6.114186904742e-11      -2.153929843946e-14 
